Model;Name;Price
WDS250G3B0A;WD Blue SA510 SSD 250GB SATA III 6Gb/s cased 2.5inch 7mm internal single-packed;32.29€
SSD-C800N256G;SSD|DAHUA|256GB|M.2|SATA|3D NAND|Write speed 510 MBytes/sec|Read speed 530 MBytes/sec|2.2mm|TBW 100 TB|MTBF 1500000 hours|SSD-C800N256G;32.59€
SSD-C900VN256G;SSD|DAHUA|256GB|M.2|PCIe Gen3|NVMe|3D NAND|Write speed 1200 MBytes/sec|Read speed 3300 MBytes/sec|TBW 128 TB|MTBF 1500000 hours|SSD-C900VN256G;32.59€
S78-440K160-P83;MSI SSD drive SPATIUM M371 500GB M.2 PCIe3 2200/1150MB/s;33.19€
ALEG-700-512GCS;ADATA | LEGEND 700 | 512 GB | SSD form factor M.2 2280 | Solid-state drive interface PCIe Gen3x4 | Read speed 2000 MB/s | Write speed 1600 MB/s;33.29€
SA400S37/480G;KINGSTON 480GB SSDNow A400 SATA3 6Gb/s 6.4cm 2.5inch 7mm height / up to 500MB/s Read and 450MB/s Write;33.49€
PBE240GS25SSDR;"Patriot Memory BURST Elite 2,5"" 240 GB Serial ATA III";33.79€
LNM620X512G-RNNNG;Lexar | SSD | NM620 | 512 GB | SSD form factor M.2 2280 | Solid-state drive interface PCIe Gen3x4 | Read speed 3300 MB/s | Write speed 2400 MB/s;34.29€
CT500P3SSD8;Crucial SSD  P3 500 GB, SSD form factor M.2 2280, SSD interface PCIe NVMe Gen 3, Write speed 1900 MB/s, Read speed 3500 MB/s;34.29€
CT480E100SSD8;Crucial E100 480GB PCIe Gen4 2280 NVMe M.2 SSD;34.29€
LNQ100X480G-RNNNG;Lexar | SSD | NQ100 | 480 GB | SSD form factor 2.5 | Solid-state drive interface SATA III | Read speed 550 MB/s | Write speed 480 MB/s;34.59€
P320P512GM28;PATRIOT P320 512GB M.2 2280 PCIE SSD;34.59€
WDS250G3B0B;WD Blue SA510 SSD 250GB M.2 2280 SATA III 6Gb/s internal single-packed;34.79€
LNS100-512RB;"Lexar | NS100 | 512 GB | SSD form factor 2.5"" | Solid-state drive interface SATA III | Read speed 550 MB/s";35.69€
WDS500G3B0E;WD Blue SN580 NVMe SSD 500GB M.2 PCIe Gen4, Write 3600 MB/s,|Read 4000 MB/s;37.29€
SP512GBP34XD8005;SILICON POWER SSD P34XD80 512GB M.2 PCIe Gen3 x4 NVMe 3400/2300 MB/s heatsink;39.19€
ALEG-800-500GCS;ADATA LEGEND 800 500GB PCIe M.2 SSD;39.59€
WDS250G3B0E;SSD|WESTERN DIGITAL|Blue SN580|250GB|M.2|PCIe Gen4|NVMe|TLC|Write speed 2000 MBytes/sec|Read speed 4000 MBytes/sec|2.38mm|TBW 150 TB|MTBF 1500000 hours|WDS250G3B0E;40.19€
WDS500G4G0E;SSD WD Green SN3000 NVMe (M.2 2280, 500GB, PCIe Gen4x4) BULK PACK (216 UNITS);40.19€
SNV3S/500G;KINGSTON 500GB NV3 M.2 2280 PCIe 4.0 NVMe SSD;42.19€
SLEG-860-500GCS;ADATA LEGEND 860 500GB PCIe M.2 SSD;42.69€
