Model;Name;Price
AK-66;"Savio 2,5"" išorinis HDD/SSD korpusas, USB 3.0, skaidrus, AK-66";12.79€
DA-71104;DIGITUS USB 2.0-SATA 2 SDD/HDD Enclosure 2.5in 9.5 7.5mm SSD/HDD;12.89€
UKZ-1003;External HDD Enclosure 2,5'' USB 2.0 Aluminium;12.89€
EEM2-SBC;AXAGON External USB-C 3.2 Gen 2 metal box for M.2 SATA SSD disks;13.19€
EE25-GTR;"AXAGON EE25-GTR USB-C 3.2 Gen 2 - SATA 6G, 2.5"" External RIBBED box BLACK";13.29€
IEUHDD5BK;IBOX HD-05 Enclosure for HDD 2.5inch USB 3.1 Gen.1 black;13.39€
IEUHDD5R;IBOX HD-05 Enclosure for HDD 2.5inch USB 3.1 Gen.1 red;13.39€
IEUHDD5G;IBOX HD-05 Enclosure for HDD 2.5inch USB 3.1 Gen.1 gray;13.39€
TS0GSJ25S3;TRANSCEND StoreJet 25S3 SSD/HDD 0GB extern 6.4cm 2.5inch SATA 6GB/s Upgrade Kit;13.59€
51854;QOLTEC 51854 Hard drive Enclosure M.2 SATA SSD NGFF USB 3.0;13.59€
51859;QOLTEC External Hard Drive Case HDD/SSD 2.5inch SATA3 USB 3.0 Blue;13.69€
51867;QOLTEC 51867 Qoltec External USB 3.0 12.7mm SATA Optical Drive Case;13.79€
IB-241WP;ICY BOX IB-241WP External USB 3.0 2.5 case for 2.5 SATA HDD/SSD write-protection-switc;13.89€
NKZ-1279;NATEC NKZ-1279 external enclosure RHINO GO for 2.5inch SATA USB 3.0 Red;13.99€
NKZ-1280;NATEC NKZ-1280 external enclosure RHINO GO for 2.5inch SATA USB 3.0 Blue;13.99€
NKZ-0941;NATEC NKZ-0941 HDD/SSD external enclosure RHINO GO for 2.5inch SATA - USB 3.0 Aluminum;14.19€
NKZ-1281;NATEC NKZ-1281 external enclosure RHINO GO for 2.5inch SATA USB 3.0 Grey;14.19€
51865;QOLTEC 51865 Qoltec External USB 3.0 9.5mm SATA Optical Drive Case;14.19€
