Model;Name;Price
TP-GP04-R-D;Gelid Solutions TP-GP04-R-D termopasta Terminis kilimėlis;11.29€
GCH-1000;Vaizdo plokštės laikiklis PowerColor;11.59€
AC-053-CN1OTN-C1;THERMALTAKE Gaming PCI-E 3.0 X16 Riser Cable;36.00€
90DA0020-B09000;VGA ACC HOLDER/XH01 ROG HERCULX ASUS;36.69€
90DA0023-B09000;ASUS ROG Herculx Graphics Card Holder Universalus Vaizdo plokštės laikiklis;40.39€
TG-WV-P-H1R;Thermal Grizzly | WireView | Pro GPU 1x12VHPWR Reversed;70.59€
AC-060-CO1OTN-C2;Tape Riser Premium PCI-E 4.0 x16 Extender - 200 mm;79.59€
AC-058-CO1OTN-C2;Thermaltake AC-058-CO1OTN-C2 vidinis maitinimo kabelis 0,3 m;87.29€
AC-051-CO1OTN-C1;THERMALTAKE PCI Express Extender 1000mm;114.29€
