Model;Name;Price
DA-70828;DIGITUS USB-C - 2x HDMI Adapter 18cm 4K/30Hz Silver Aluminium housing;20.19€
DA-70840;DIGITUS USB 3.0 to VGA Adapter Input USB Output VGA;20.89€
A-CM-HDMIF2-01;GEMBIRD USB-C to dual HDMI adapter 4K 60Hz black;21.19€
GX90R61025;Lenovo | USB-C to HDMI 2.0b | USB-C | 5 V | Adapter;22.49€
TRAPOD46847;TRACER A-1 USB-C HDMI 4K USB 3.0 PDW 100W adapter;23.19€
AKTBXVA2U2HSDAG;Adapter HUB USB C 7in1 - HDMI, USBx3, PD, SD/TF;23.29€
CUA0101;USB-C to HDMI cable, 4K 60Hz, alu, 1.8m;23.49€
4775341440636;Adapteris USB-C - DVI, 15cm;23.79€
43337;I/O CONVERTER USB-C TO DISPLAY/43337 LINDY;24.29€
CUA0103;USB-C to HDMI/F adapter, 4K/60Hz, alu, 0.15m;24.69€
CUA0104;USB-C to VGA adapter, 1080p, alu, 0.15m;24.89€
V1420A;Adapterio kabelis Unitek (V1420A) USB-C - HDMI 2.0 4K 60Hz;25.79€
UH3235-AT;Aten | USB-C 4K Ultra Mini Dock with Power Pass-through | USB 3.0 (3.1 Gen 1) Type-C ports quantity 1 | USB 3.0 (3.1 Gen 1) ports quantity 1 | USB 2.0 ports quantity 1 | HDMI ports quantity 1;26.69€
62110;Goobay USB-C HDMI Adapter (4k 60 Hz)  62110;26.69€
V1415A;UNITEK V1415C ADAPTER USB-C - DisplayPort 1.4 8K 60Hz 15cm ALU;27.99€
52418;Goobay USB-C multiport adapter HDMI + VGA + PD 100 W 52418;28.79€
AVC002BTBK;Belkin | USB-C to HDMI + Power Adapter | USB-C to HDMI;28.89€
A-CM-COMBO3-03;I/O ADAPTER USB-C TO HDMI/USB3/3IN1 A-CM-COMBO3-03 GEMBIRD;30.49€
AKTBXVA6W1U3HRJ;Adapter HUB USB C 6in1 - HDMI, USBx3, PD, RJ-45;30.79€
4X90Q93303;LENOVO USB-C to DisplayPort Adapter;31.69€
CNS-TDS05DG;CANYON hub DS-5 5in1 Thunderbolt 3 4k Space Grey;31.69€
UC3008A1-AT;Aten | USB-C to HDMI 4K Adapter | HDMI Female | USB-C Male;31.99€
HMC-5HL;AXAGON HMC-5HL USB 5Gbps hub, 2x USB-A, HDMI 4k/60Hz, RJ-45, PD 100W, 20c;31.99€
HMC-5H60;AXAGON HMC-5H60 USB-C 3.2 Gen 1 hub, 2x USB-A, 1x USB-C, 4K 60Hz HDMI, PD 100W, 15cm USB-C cable;31.99€
TC37;I/O ADAPTER USB-C HDMI/TC37 DAHUA;31.99€
A-CM-COMBO8-02;GEMBIRD A-CM-COMBO8-02 USB Type C 8in1 multi port adapter Hub + HDMI + VGA + PD + card reader + stereo audio silver;32.19€
V1423C;UNITEK ADAPTERIS USB-C, DISPLAYPORT 1.4, 8K@60HZ, 1,8M, V1423C;32.29€
470-BCFW;NB ACC ADAPTER USB-C TO HDMI/470-BCFW DELL;33.29€
NPA004BTBK;USB-C to 3.5 MM AUDIO + USB-C;33.39€
DA-70841;DIGITUS USB 3.0 to HDMI Adapter Input USB Output HDMI;33.79€
DUB-V310;D-LINK USB-C 3-port video adapter with HDMI Displayport VGA;34.19€
V1404B;UNITEK ADAPTERIS USB-C - 2X HDMI 4K MST (M/F);34.89€
470-BCKQ;NB ACC ADAPTER USB-C TO HDMI/470-BCKQ DELL;35.19€
AVC014BT2MBK;Belkin AVC014bt2MBK 2 m C tipo USB DisplayPort Juoda;35.59€
43340;I/O CONVERTER USB-C TO HDMI/43340 LINDY;36.00€
CAC-2504;I/O ADAPTER USB-C TO HDMI/ACTIVE CAC-2504 CLUB3D;36.89€
470-ADFQ;Adapter Connector Dongle USB Type C to VGA | Dell | Adapter USB-C to VGA | USB-C | VGA;37.19€
C31DTPDHDMI;I-TEC USB-C HDMI and USB Adapter with Power Delivery 1xHDMI 4K 2xUSB 3.0 Port 1xUSB-C Power Delivery/Dataport compatible with TB3;38.99€
HMC-5H8K;AXAGON HMC-5H8K USB 5Gbps hub, 2x USB-A, USB-C, HDMI 8k/30Hz, PD 100W,;39.19€
HD425A;Hyper | HyperDrive USB-C to 4K 60Hz HDMI Adapter | HDMI ports quantity 1 x 4K60Hz;39.19€
C31DUAL4KHDMI;I-TEC USB C to Dual HDMI Port VideoAdapter 2x HDMI Port 4K Ultra HD compatible with Thunderbolt 3;39.29€
C31DUAL4KDP;i-tec USB-C dual DP Video Adapteris 2x DP 4K suderinamas su Thunderbolt 3 (macOS nepalaiko 2 skirtingų vaizdu vienu metu per adapterį);39.29€
IB-DK4040-CPD;ICY BOX IB-DK4040-CPD Docking Station USB Type-C 3xUSB HDMI 4k 30Hz VGA SD/microSD;40.39€
AVC005BTBK;BELKIN ADAPTER, USB-C TO GBE, HDMI, VGA, USB-A, BLK;40.79€
43327;I/O CONVERTER USB-C TO HDMI/43327 LINDY;41.19€
NMP-2162;USB-C MULTIPORT ADAPTER 8 IN 1 NATEC FOWLER 2;41.19€
A-CM-COMBO11-01;GEMBIRD A-CM-COMBO11-01 USB Type C 11in1 multi port adapter USB hub + HDMI + VGA + PD + card reader + LAN + 3.5 mm audio space grey;41.59€
ST-AC8KHM;SATECHI USB-C to HDMI 2.1 8K Adapter;42.49€
CNS-TDS08DG;CANYON hub DS-8 8in1 Thunderbolt 4k Space Grey;43.99€
AVC013BTBK;Belkin AVC013BTBK vaizdo kabelio adapteris HDMI A tipo (standartinis) C tipo USB Juoda;44.99€
CAC-1333;I/O ADAPTER HDMI TO USB-C/ACTIVE M/F CAC-1333 CLUB3D;46.99€
A-CM-COMBO10-01;GEMBIRD A-CM-COMBO10-01 USB Type C 10in1 multi port adapter USB hub + HDMI + VGA + PD + card reader + LAN + 3.5 mm audio space grey;49.49€
DA-70866;DIGITUS USB Multiport Travel Dock 8-Port 4K HDMI VGA 2x USB-C 2x USB3.0 RJ45 MicroSD SD/MMC silver;49.99€
HMC-6G2L;AXAGON Multi port USB-C 10Gbps hub | HMC-6G2L;50.39€
A-CM-COMBO9-02;GEMBIRD A-CM-COMBO9-02 USB Type C 9in1 multi port adapter USB Hub3.0 + HDMI + DisplayPort + VGA + PD + LAN + stereo audio;50.99€
62105;Goobay | USB-C Multiport Adapter (HDMI + Ethernet, PD) | 62105;51.69€
DOCK419EUZ;Targus USB-C DP Alt Mode Single Video 4K HDMI/VGA Docking Station with 100W PD Pass-Thru | Targus;57.59€
CAC-1510;I/O ADAPTER USB-C TO DVI-D/ACTIVE M/F CAC-1510 CLUB3D;59.19€
CNS-TDS07DG;CANYON hub DS-7 7in1 USB-C Wireless Space Grey;61.69€
4X11N40212;LENOVO USB-C Slim Travel Dock 3y;63.29€
HD-H8K-GL;Hyper | HyperDrive | USB-C to HDMI | Adapter;68.49€
CADUAL4KDP;Adapter Video USB-A/USB-C Dual 4K/60 Hz DisplayPort;75.99€
470-AEUP;NB ACC ADAPTER MOBILE USB-C/DA310 470-AEUP DELL;83.89€
4X90H20061;LENOVO Universal USB3.0 to VGA/HDMI Adapter;87.59€
TB3DUAL4KDP;I-TEC THUNDERBOLT3 Dual DP Video Adapter for Thunderbolt3 MacOS and Windows supports 1x 5K 60Hz Monitor or 2x 4K 60Hz Monitor;94.99€
USB4DUAL4KDOCKPD;I-TEC USB 4.0 Metal Docking station Dual 4K HDMI DP PD 80 W, Optional Power Supply;101.19€
C31HDMIDPDOCKPD;I-TEC USB-C Dual Display MST DS,1xDP,1xHDMI,1xGLAN,3xUSB 3.0,2xUSB 2.0,1xUSB-C-Datei,1xAudio/Mic Jack,1x100W USB-C PD,no Power Suppy;108.39€
TB3HDMIDOCKPD;I-TEC Thunderbolt 3 Dual 4K Docking Station Power Delivery 60W;115.99€
CE100;CONSOLE EXTENDER VGA USB 100M CE100;120.49€
DOCK315EUZ;TARGUS Universal USB-C DV4K Docking Station with 65W Power Delivery;121.39€
C31HDMIDPDOCKPD100;I-TEC USB-C Dual Display MST DS 1xDP 1xHDMI 1xGLAN 3xUSB 3.0 2xUSB 2.0 1xUSB-C-Datei 1xAudio/Mic Jack 1x100W USB-C PD+Charger 112W;137.19€
GP.DCK11.003;NB ACC DOCKING STATION USB-C/GP.DCK11.003 ACER;150.49€
K32800WW;KENSINGTON SD1700p USB-C Dual 4K Portable Docking Station with Qi Charging;151.49€
K32810EU;KENSINGTON SD4842P USB-C Triple Video Docking station with 100 PD;190.69€
ST-T4SHM-EU;SATECHI Thunderbolt 4 Slim Hub - EU;192.99€
ST-DT4MDM-EU;SATECHI Thunderbolt 4 Multi-Display Docking Station - EU;289.39€
K34110EU;KENSINGTON SD5760T Thunderbolt 4 Dual 4K Docking Station;348.99€
