Model;Name;Price
H610M-HVS/M.2 R2.0;ASRock | H610M-HVS/M.2 R2.0 | Processor family Intel | Processor socket LGA1700 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4 | Chipset H610 | Micro ATX;69.69€
H610MS2HV3DDR4;Mainboard|GIGABYTE|Intel H610|LGA1700|Micro-ATX|Memory DDR4|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|1xM.2|1x15pin D-sub|1xHDMI|2xDisplayPort|4xUSB 2.0|2xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|H610MS2HV3DDR4;71.19€
H61MHV3;Biostar H61MHV3 pagrindinė plokštė Intel® H61 LGA 1155 (Socket H2) „micro ATX“;71.39€
PRIMEH510M-RR2.0-SI;Mainboard|ASUS|Intel H470 Express|LGA1200|Micro-ATX|Memory DDR4|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|1x15pin D-sub|1xHDMI|2xUSB 2.0|2xUSB 3.2|2xPS/2|1xRJ45|3xAudio port|PRIMEH510M-RR2.0-SI;71.39€
PRIME B450M-K II;Asus | PRIME B450M-K II | Processor family AMD | Processor socket AM4 | DDR4 | Memory slots 2 | Chipset AMD B | Micro ATX;71.49€
90MB1A10-M0EAY0;Asus | PRIME H610M-K D4 | Processor family Intel | Processor socket  LGA1700 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4 | Chipset Intel H610 | mATX;71.49€
H610M-H2/M.2 D5;ASROCK H610M-H2/M.2 D5 LGA1700 2xHDMI;72.29€
H81MHV3 3.0;Biostar H81MHV3 3.0 H81 Intel® H81 LGA 1150 (H3 lizdas) „micro ATX“;72.59€
A520M PRO;MSI | A520M PRO | Processor family AMD | Processor socket AM4 | DDR4 | Memory slots 2 | Chipset AMD A | Micro ATX;73.79€
H610M S2H V3 DDR4 G1.0;Gigabyte | H610M S2H V3 DDR4 G1.0 | Processor family Intel | Processor socket LGA1700 | DDR4 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;73.89€
PRIMEA520M-R;Mainboard|ASUS|AMD A520|SAM4|Micro-ATX|Memory DDR4|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 3.0 16x|1xM.2|1xHDMI|2xUSB 2.0|4xUSB 3.1|2xPS/2|1xRJ45|3xAudio port|PRIMEA520M-R;75.59€
H610M-HDV/M.2+ D5;ASRock | H610M-HDV/M.2+ D5 | Processor family Intel | Processor socket LGA1700 | DDR5 DIMM | Supported hard disk drive interfaces SATA3, M.2 | Number of SATA connectors 4;76.89€
B450M PRO4 R2.0;ASRock B450M PRO4 R2.0 | Processor family AMD | Processor socket AM4 | DDR4 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4;77.39€
PRIME H510M-E R2.0;PRIME H510M-E 2.0 s1200 2DDR4 HDMI/DP M.2 mATX;77.89€
H610M S2H V3 DDR4;GIGABYTE H610M S2H V3 DDR4 LGA1700 2xDDR5 4xSATA 1xM.2;78.39€
90MB1H60-M0EAY0;ASUS PRIME A520M-R | Asus | Processor family AMD A520 | Processor socket 1 x Socket AM4 | 2 DIMM slots - DDR4, ECC, unbuffered | Supported hard disk drive interfaces SATA-600 (RAID), 1 x M.2 | Number of SATA connectors 4;78.69€
B550M-HDV;ASRock | B550M-HDV | Processor family AMD | Processor socket AMD AM4 | AMD AM4 | Memory slots 2 | Supported hard disk drive interfaces SATA3, M.2 | Number of SATA connectors 4 | Chipset AMD B550 | Micro ATX;78.79€
90MB17C0-M0EAY0;Asus | PRIME H510M-A | Processor family Intel | Processor socket LGA1200 | DDR4 | Memory slots 2 | Supported hard disk drive interfaces M.2, SATA | Number of SATA connectors 4 | Chipset Intel H | mATX;80.39€
H610MTE;Biostar H610MT-E pagrindinė plokštė Intel H610 LGA 1700 „micro ATX“;80.39€
90MB1FP0-M0EAY0;ASUS PRIME H510M-A R2.0 LGA1200 DDR4 mATX MB 4xSATA 1xM.2;80.39€
PRO H610M-G DDR4;MSI | PRO H610M-G DDR4 | Processor family Intel | Processor socket  LGA1700 | DDR4 DIMM | Memory slots 2 | Supported hard disk drive interfaces SATA, M.2 | Number of SATA connectors 4 | Chipset Intel H610 | M-ATX;80.59€
H610MHV21.0;Mainboard|GIGABYTE|Intel H610|LGA1700|Micro-ATX|Memory DDR5|Memory slots 2|1xPCI-Express 3.0 1x|1xPCI-Express 4.0 16x|1xM.2|1x15pin D-sub|1xHDMI|4xUSB 2.0|2xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|H610MHV21.0;80.69€
B550MX/EPRO;Mainboard|BIOSTAR|AMD B550|SAM4|MicroATX|Memory DDR4|Memory slots 4|1xPCI-Express 3.0 1x|1xPCI-Express 3.0 16x|1xPCI-Express 4.0 16x|2xM.2|1x15pin D-sub|1xDVI-D|1xHDMI|2xUSB 2.0|4xUSB 3.2|1xPS/2|1xRJ45|3xAudio port|B550MX/EPRO;80.99€
