Model;Name;Price
GPE-700S;CHIEFTEC ECO Series 700W ATX-12V V.2.3 PSU type with 12cm fan Active PFC 230V only 85proc Efficiency including power cord;54.99€
EY7A001;Maitinimo šaltinis Endorfy Elementum E5 (EY7A001) 550 W;55.19€
TPS-600S;CHIEFTEC Task 600W certified 80Plus Bronze ATX 12V 2.3 Active CFP 0.9 65cm cable length;55.49€
GPS-400A8;CHIEFTEC PSU 400W 12CM FAN ACTIVE PFC ATX12V V2.3 80+ EFF. WITH POWER CORD;55.79€
RGB-600_II;Power Supply INTER-TECH Argus RGB, 80PLUS Bronze, 600W, Retail, 1x140 Fan, 1x20+4Pin, 4+4Pin, 2xPCI-e 6+2Pin, 3x4Pin (Molex), 6xSATA, 1xFDD (Rev. 2);56.29€
AEROVX-550PLUS;AEROCOOL AEROVX-550PLUS PSU VX-550 PLUS 550W Silent 120mm fan with Smart control;56.39€
GP-P650SS ICE;Power Supply|GIGABYTE|GP-P650SS ICE|650 Watts|Efficiency 80 PLUS SILVER|PFC Active|MTBF 100000 hours|GP-P650SSICE;56.59€
ZIA600W14CMBOX;IBOX AURORA 600W 14cm fan PSU GAMING;56.69€
CP-9020277-EU;Corsair | 80 PLUS Bronze ATX Power Supply (EU) | CX Series CX550 | 550 W;56.89€
PS-LTP-0550NPCNEU-2;Thermaltake PS-LTP-0550NPCNEU-2 Litepower II Black 550W (Active PFC, 2xPEG, 120mm).;57.89€
ZAS-MC-B88-700-ATX-FC-BULK;MODECOM Maitinimo blokai MC-B88-700-FC 80+ BRONZINĖ 230V EU 700W BULK;58.39€
R-PL550D-FC0B-EU-V2;Deepcool PSU | PL550D-FC | 550 W;58.49€
ZIA700W14CMBOX;IBOX AURORA 700W 14cm fan PSU GAMING;58.69€
ZAS-MC85-CL-500-ATX-APFC;Modecom MC-400-85 maitinimo blokas 400 W 20+4 pin ATX ATX Juoda;58.69€
LC600-12 V2.31;PSU 450W LC600-12 V2.31 80+ BROZNE;58.79€
75260122;XPG PYLON 550W maitinimo blokas 24-pin ATX ATX Juoda;59.59€
