Model;Name;Price
NH-L9I;Noctua NH-L9i Procesorius Aušintuvas 9,2 cm Rusvai gelsvas, Ruda, Sidabras;60.49€
EY3A009;ENDORFY Fortis 5 Dual Fan CPU Cooler;61.29€
SAVGCOVELOX240MM;WATER COOLING 240 mm SAVIO;62.19€
R-ASN4-WHNNMT-G;Deepcool | ASSASSIN IV WH | Intel, AMD | CPU Cooler;62.99€
BK024;BE QUIET BK024 CPU cooler Dark Rock Slim 1150 1151 1155 1156 1366 2011 AM2 AM3 AM4;63.29€
SNK-P0077P;Supermicro SNK-P0077P Kompiuterio aušinimo sistema Procesorius Radiatorius Juoda, Nerūdijančiojo plieno;63.59€
MLW-D24M-A18PZ-RW;COOLER MASTER CPU water cooling Masterliquid 240L Core ARGB White;66.19€
NH-U12S REDUX;Noctua NH-U12S redux Procesorius Aušintuvas 12 cm Pilka, Nerūdijančiojo plieno;67.19€
EY3A010;ENDORFY Fortis 5 ARGB CPU Cooler;67.19€
EY3A014;„Endorfa Fortis 5 Black ARGB CPU aušintuvas;67.39€
R-LE500-BKLNMG-G-1;Deepcool | LE500 | CPU Liquid Cooler | Black | Intel, AMD;67.79€
NH-L9X65;Noctua NH-L9x65 Procesorius Aušintuvas 9,2 cm;69.59€
MAG CORELIQUID A13 240;MSI MAG CORELIQUID A13 240;69.59€
BK003;BE QUIET BK003 Shadow Rock TF2 CPU cooler 1150 1151 1155 1156 AM4 AM2 + AM3 + FM1-2;70.29€
NH-D9L;Noctua NH-D9L kompiuterio aušinimo komponentas Procesorius Aušintuvas 9,2 cm Metalinis;70.99€
CLC-240-BLK;CHIEFTEC ICEBERG 240 DARK CPU Liquid Cooler;70.99€
NH-L9I-17XXCH.BK.;NOCTUA PROCESORIAUS AUŠINIMAS NH-L9I-17XX CHROMAX BLACK;72.59€
NH-L9I CH.BK;Noctua NH-L9i chromax.black Procesorius Aušintuvas 9,2 cm Juoda  Intel LGA1150, LGA1151, LGA1155, LGA1156, LGA1200;72.59€
CGR-FZA135;COUGAR FORZA 135 Air Cooling, Dual Tower;72.59€
CLC-240-RGB;CHIEFTEC ICEBERG 240 RGB CPU Liquid Cooler;73.69€
VK-AIOA240W;Valkyrie A240 White Procesorius Universalusis skystinis aušintuvas 24 cm Balta;73.99€
NH-L9A-AM4 CH.BK;Noctua NH-L9a-AM4 chromax.black Procesorius Aušintuvas 9,2 cm Juoda;74.19€
EY3B001;ENDORFY Navis F240 CPU Cooler;75.49€
MAG CORELIQUID A13 240 WHITE;MSI MAG CORELIQUID A13 240 WHITE;76.49€
CL-W360-PL12SW-A;Thermaltake TH120 V2 AR GB;76.69€
NH-L12S;Noctua NH-L12S kompiuterio aušinimo komponentas Procesorius Aušintuvas 12 cm Rusvai gelsvas, Nikelis;77.19€
BK035;BE QUIET Dark Rock 5 cooler;77.69€
419026;Thermalright Frozen Notte 240 ARGB V2 Black Water Cooling;78.29€
CL-P095-PL14BL-A;Thermaltake TOUGHAIR TR X40;78.99€
NH-U9DXI4;NOCTUA NH-U9DXI4 PROCESORIAUS AUŠINIMAS;79.89€
NH-U9S;Noctua NH-U9S Kompiuterio aušinimo sistema Procesorius Aušintuvas 9,2 cm Ruda, Metalinis;79.89€
306-7ZWCA11-L80;MSI MAG CORELIQUID A13 240;81.39€
EY3B004;ENDORFY Navis F240 ARGB CPU Cooler;81.99€
XC974;XILENCE LiQuRizer LQ240.W.ARGB;82.29€
EY3B002;Aušinimas vandeniu Endorfy Navis F280;82.89€
CW-9060052-WW;CORSAIR H55 RGB 120mm Radiator Liquid CPU Cooler;84.89€
MAM-D8PN-318PK-R1;Cooler Master | MasterAir MA824 Stealth Cooler;85.19€
MAG CORELIQUID M240;MSI MAG CORELIQUID M240 LIQUID COOLING;86.89€
CGR-POSEIDON GT 240;COUGAR POSEIDON GT 240 AiO Liquid Watercooling;87.69€
R-ASN4S-BKGPMN-G;Deepcool | CPU Cooler | ASSASSIN 4S | Intel, AMD;88.39€
VK-AIOVL240B;Valkyrie V240 Lite Procesorius Universalusis skystinis aušintuvas 24 cm Juoda;88.79€
VK-AIOVL240W;Valkyrie V240 Lite Procesorius Universalusis skystinis aušintuvas 24 cm Balta;88.79€
CLC-360-BLK;CHIEFTEC ICEBERG 360 DARK CPU Liquid Cooler;88.99€
MAG CORELIQUID A13 360;MSI MAG CORELIQUID A13 360;90.79€
BW016;BE QUIET PURE LOOP 2 120mm;90.99€
EY3B005;ENDORFY Navis F280 ARGB Kompiuterio korpusui Universalusis skystinis aušintuvas 14 cm Juoda 1 vnt;92.89€
GP-G-MYSTIQUE240;Deepcool | CPU Cooler | MYSTIQUE 240 | Intel, AMD;96.79€
XC998;XILENCE LiQuRizer LQ360W ARGB;97.29€
ACFRE00135A;CPU COOLER S_MULTI/ACFRE00135A ARCTIC;97.29€
EY3B003;ENDORFY Navis F360 CPU Cooler;97.49€
MAG CORELIQUID A13 360 WHITE;MSI MAG CORELIQUID A13 360 WHITE;97.59€
CL-W361-PL12SW-A;Thermaltake TH240 V2 AR GB;98.19€
ACFRE00142A;CPU COOLER S_MULTI/ACFRE00142A ARCTIC;98.99€
MAG CORELIQUID 240R V2;MSI MAG CORELIQUID 240R V2 Liquid CPU Cooler;100.19€
CW-9060088-WW;CORSAIR NAUTILUS 240 240mm Radiator Liquid CPU Cooler;100.19€
BK036;BE QUIET Dark Rock Pro 5 processor cooler;100.49€
NH-C14S;Noctua NH-C14S Kompiuterio aušinimo sistema Procesorius Aušintuvas 14 cm;100.59€
NH-U12STR4-SP3;Noctua NH-U12S TR4-SP3 Kompiuterio aušinimo sistema Procesorius Aušintuvas 12 cm Aliuminis, Rusvai gelsvas;100.59€
ACFRE00150A;CPU COOLER S_MULTI/ACFRE00150A ARCTIC;102.19€
CL-W375-PL14SW-A;Thermaltake TH280 V2 AR GB;102.99€
FD-WCU-CELSIUS-S24-BK;Fractal Design Celsius S24 Black | Fractal Design | Celsius S24 | Cooler;103.39€
BW017;BE QUIET PURE LOOP 2 240mm;103.79€
CL-P117-CA14BL-A;Thermaltake TOUGHAIR 71 0;104.29€
EY3B006;ENDORFY Navis F360 ARGB CPU Cooler;104.89€
CGR-AQUA RGB 280;Cougar I Aqua ARGB 280 AiO Liquid Cooling I Aqua ARGB 280 *1 + 140mm RGB fan x2 + remote control;105.89€
CGR-POSEIDON GT 360;COUGAR POSEIDON GT 360 AiO Liquid Watercooling;105.90€
AEROPGSMIRAGE-L240-B;Aerocool Mirage L240 kompiuterio aušinimo vandeniu priemonė;107.39€
MAG CORELIQUID M360;MSI MAG CORELIQUID M360 LIQUID COOLING;108.69€
MAG CORELIQUID E240;MSI MAG CORELIQUID E240;108.69€
ACFRE00137A;CPU COOLER S_MULTI/ACFRE00137A ARCTIC;108.79€
ACFRE00143A;CPU COOLER S_MULTI/ACFRE00143A ARCTIC;108.79€
VK-AIODR240B;Valkyrie VK-AIODR240B Kompiuterio aušinimo sistema Procesorius Universalusis skystinis aušintuvas Juoda;109.99€
MAG CORELIQUID E240 WHITE;MSI MAG CORELIQUID E240 WHITE;110.89€
ACFRE00151A;CPU COOLER S_MULTI/ACFRE00151A ARCTIC;112.19€
FD-WCU-CELSIUS-S36-BKO;FRACTAL DESINGN Celsius S36 Water Cooling Unit Blackout;112.69€
VK-AIODR240W;Valkyrie VK-AIODR240W Kompiuterio aušinimo sistema Procesorius Universalusis skystinis aušintuvas Juoda;113.59€
BW018;BE QUIET PURE LOOP 2 280mm;114.39€
R-LS720-WHAMMM-G-1;Deepcool | LS720 SE WH | White | Intel, AMD | CPU Liquid Cooler;115.19€
BK037;BE QUIET Dark Rock Elite RGB processor cooler;116.79€
BW020;BE QUIET LIGHT LOOP 240mm;117.49€
ACFRE00144A;CPU COOLER S_MULTI/ACFRE00144A ARCTIC;118.69€
LEVANTEX240-BKCWW;CPU COOLER S_MULTI/LEVANTEX240-BKCWW ADATA;118.69€
LEVANTEX240-WHCWW;CPU COOLER S_MULTI/LEVANTEX240-WHCWW ADATA;118.69€
G89.GA2T24W.00;CPU COOLER S_MULTI/G89.GA2T24W.00 LIAN LI;120.19€
G89.GA2T24B.00;CPU COOLER S_MULTI/G89.GA2T24B.00 LIAN LI;120.19€
90RC00U1-M0UAY0;ASUS TUF GAMING LC II 240 ARGB AIO Cooler;120.49€
MAG CORELIQUID I240;Chłodzenie wodne MSI MAG CORELIQUID I240;120.69€
MAG CORELIQUID I240 WHITE;Chłodzenie wodne MSI MAG CORELIQUID I240 WHITE;120.69€
CW-9060092-WW;CORSAIR NAUTILUS 240 ARGB 240mm Radiator Liquid CPU Cooler;120.79€
NH-D15;Noctua NH-D15 kompiuterio aušinimo komponentas Procesorius Aušintuvas 14 cm;121.19€
ACFRE00152A;CPU COOLER S_MULTI/ACFRE00152A ARCTIC;121.99€
BW024;BE QUIET SILENT LOOP 3 240mm;122.29€
CW-9060089-WW;CORSAIR NAUTILUS 360 360mm Radiator Liquid CPU Cooler;122.59€
AORUS WATERFORCE II 240;GIGABYTE AORUS WATERFORCE II 240;122.69€
CL-W362-PL12SW-A;Thermaltake TH360 V2 AR GB;122.69€
90RC0101-B0EAY0;ASUS PRIME LC 360 ARGB all-in-one liquid CPU cooler;124.49€
CL-W418-PL00BL-A;Thermaltake Toughliquid 240 EX Pro ARGB;125.69€
FD-W-L1-S2811;FRACTAL DESIGN Lumen S28 v2;126.19€
R-LP240-BKMSNC-G-1;Deepcool | Liquid CPU cooler | LP240 | Intel, AMD;126.39€
NH-D15S CH.BK;Noctua NH-D15S chromax.black Procesorius Aušintuvas 14 cm Juoda 1 vnt;126.69€
ACFRE00145A;CPU COOLER S_MULTI/ACFRE00145A ARCTIC;126.99€
CW-9060094-WW;Corsair NAUTILUS 240 RS ARGB Liquid Procesorius Universalusis skystinis aušintuvas Balta 1 vnt;127.00€
CW-9060092-WW;Corsair NAUTILUS 240 RS ARGB Liquid Procesorius Universalusis skystinis aušintuvas Juoda 1 vnt;127.00€
