Model;Name;Price
BX8070110400SRH3C;CPU|INTEL|Core i5|i5-10400|Comet Lake|2900 MHz|Cores 6|12MB|Socket LGA1200|65 Watts|GPU UHD 630|BOX|BX8070110400SRH3C;136.59€
100-100001584BOX;AMD RYZEN 5 5600T AM4 65W 6C/12T 3.7GHz SR1 PIB BOX;138.99€
100-100000065BOX;AMD Ryzen™ 5 5600X 6C/12T socket AM4, 3.7-4.6GHz, Wraith Stealth aušintuvas, AMD prekybinė pakuotė (retail BOX);139.90€
100-100001488BOX;AMD Ryzen 5 5600GT 4.6GHz AM4 6C/12 65W 19MB with Wraith Stealth Cooler BOX;140.19€
100-000000926;AMD CPU Desktop Ryzen 7 8C/16T 5700X (3.4/4.6GHz Boost,36MB,65W,AM4) Tray (ne gamyklinė pakuotė, be priedų);140.89€
100-100001585BOX;AMD Ryzen 5 5600XT AM4 65W 6C/12T 3.7GHz SR1 PIB BOX;145.49€
BX8071514400F;INTEL Core i5-14400F 2.5GHz LGA1700 20M Cache Boxed CPU;150.39€
100-100001591BOX;AMD Ryzen 5 8400F 4.7 GHz AM5 6C/12 65W AI ready BOX;152.19€
BX8071513400F;INTEL Core i5-13400F 1.8-4.6GHz, 6P+4E Cores, 16 Threads, LGA1700 (dėžutėje su aušintuvu);152.59€
100-100000743BOX;AMD Ryzen 7 5700 4.6GHz AM4 8C/16T 65W 20MB with Wraith Spire Cooler BOX;153.89€
100-100000252BOX;AMD Ryzen 5 5600G 3.9-4.4GHz, AM4, 6C/12T, 65W integruota grafika, dėžutėje su aušintuvu;154.79€
BX8071512400;INTEL Core i5-12400 2.5GHz LGA1700 18M Cache Box CPU NON-K (su dėžutė ir aušintuvu);155.29€
100-000000931;AMD CPU Desktop Ryzen 5 6C/12T 8500G (3.8/5.0GHz Max, 22MB,65W,AM5) tray (ne gamyklinė pakuotė, be priedų);155.29€
