Model;Name;Price
BH16NS40.ARAA10;Blu-Ray įrašymo įrenginys - LG BH16NS40.ARAA10B;107.29€
90-DT20305-UA199KZ;ASUS SBW-06D2X-U BluRay Slim Line USB2.0 black 6x BD-R SL/DL 8x DVD±R 6x DVD±R DL 5x DVD-RAM USB 2.0 incl.Cyberlink;113.49€
90DD02G0-M29000;ASUS SBW-06D5H-U Blu-Ray external Cyberlink Power2Go 7 Burn BDXL Support USB 3.0;119.79€
43889;VERBATIM 43889 Verbatim External Slimline Blu-ray Writer USB 3.1 GEN 1 with USB-C Connection;127.39€
43890;VERBATIM Mobile Blu-Ray ReWriter slim external USB3.0 black incl. software Mdisc support;133.49€
BW-16D1X-U/BLK/G/AS/P2G;External Blu-ray recorder BW-16D1X-U;158.19€
90DD01L0-M69000;ASUS BW-16D1H-U PRO Blu-ray Combo USB 3.0 external black 12xBD-R 16xDVD±R 12xDVD±R DL 5xDVD-RAM incl. Cyberlink;159.39€
